,City ID,City,Country Code,Latitude,Longitude,Temp Kelvin,Temp C,Temp F,Humidity (RH)%,Cloud% Cover,wind speed (m/s),wind speed (mph),Time stamp
339,1337605,Mahibadhoo,MV,3.78,72.97,301.02,28.0,82.0,74,50,3.9,8.67,['22 Nov 2020 21:55:58']
340,1636806,Majene,ID,-3.54,118.97,302.55,29.0,85.0,69,100,0.92,2.04,['22 Nov 2020 21:55:58']
341,2399371,Makokou,GA,0.57,12.86,293.49,21.0,69.0,97,92,1.31,2.91,['22 Nov 2020 21:55:58']
342,370737,Malakal,SS,9.53,31.66,296.37,23.0,74.0,27,0,3.18,7.07,['22 Nov 2020 21:55:58']
343,2239862,Malanje,AO,-9.54,16.34,291.03,18.0,64.0,99,100,1.67,3.71,['22 Nov 2020 21:55:58']
344,187968,Malindi,KE,-3.22,40.12,298.98,26.0,78.0,85,52,3.13,6.96,['22 Nov 2020 21:55:58']
345,1263997,Mahabalipuram,IN,12.63,80.17,301.15,28.0,82.0,83,75,1.0,2.22,['22 Nov 2020 21:55:58']
346,2417831,Mamou,GN,10.5,-12.0,292.24,19.0,66.0,50,16,0.81,1.8,['22 Nov 2020 21:55:58']
347,290340,Manama,BH,26.22,50.58,295.15,22.0,72.0,68,0,7.2,16.0,['22 Nov 2020 21:55:58']
348,3663516,Mâncio Lima,BR,-7.61,-72.9,296.61,23.0,74.0,89,45,0.95,2.11,['22 Nov 2020 21:55:58']
349,187896,Mandera,KE,3.94,41.87,298.47,26.0,78.0,72,99,3.54,7.87,['22 Nov 2020 21:55:58']
350,2313084,Mangai,CD,-4.05,19.53,294.43,21.0,70.0,96,100,0.43,0.96,['22 Nov 2020 21:55:58']
351,1263776,Mangan,IN,27.52,88.53,291.74,18.0,65.0,27,0,1.32,2.93,['22 Nov 2020 21:55:58']
352,1636426,Manggar,ID,-2.88,108.27,303.45,31.0,87.0,62,97,0.66,1.47,['22 Nov 2020 21:55:58']
353,3663503,Manicoré,BR,-5.81,-61.3,296.96,24.0,75.0,96,40,0.98,2.18,['22 Nov 2020 21:55:58']
354,3421982,Maniitsoq,GL,65.42,-52.9,267.46,-6.0,22.0,90,100,4.39,9.76,['22 Nov 2020 21:55:58']
355,1263622,Mānsa,IN,29.98,75.38,290.1,17.0,63.0,28,39,0.75,1.67,['22 Nov 2020 21:55:58']
356,2514190,Manzanares,ES,39.0,-3.37,277.04,4.0,39.0,93,0,1.91,4.24,['22 Nov 2020 21:55:58']
357,3430863,Mar del Plata,AR,-38.0,-57.56,291.84,19.0,66.0,77,0,3.6,8.0,['22 Nov 2020 21:55:58']
358,3663475,Maraã,BR,-1.83,-65.37,296.57,23.0,74.0,82,34,0.74,1.64,['22 Nov 2020 21:55:58']
359,3395458,Maragogi,BR,-9.01,-35.22,297.27,24.0,75.0,81,46,2.64,5.87,['22 Nov 2020 21:55:58']
360,1701054,Marawi,PH,8.0,124.29,299.72,27.0,80.0,73,100,1.9,4.22,['22 Nov 2020 21:55:58']
361,3092472,Malbork,PL,54.04,19.03,277.59,4.0,40.0,100,100,6.52,14.49,['22 Nov 2020 21:55:58']
362,886990,Marondera,ZW,-18.19,31.55,289.48,16.0,61.0,75,0,1.88,4.18,['22 Nov 2020 21:55:58']
363,2542997,Marrakesh,MA,31.63,-8.01,286.15,13.0,55.0,58,0,1.5,3.33,['22 Nov 2020 21:55:58']
364,3571913,Marsh Harbour,BS,26.54,-77.06,298.0,25.0,77.0,80,0,5.61,12.47,['22 Nov 2020 21:55:58']
365,3173857,Martano,IT,40.2,18.3,284.23,11.0,52.0,81,40,3.6,8.0,['22 Nov 2020 21:55:58']
366,6067472,Marystown,CA,47.17,-55.15,270.93,-2.0,28.0,100,1,1.98,4.4,['22 Nov 2020 21:55:58']
367,72181,Marzuq,YE,14.4,46.47,289.27,16.0,61.0,38,24,0.79,1.76,['22 Nov 2020 21:55:58']
368,932505,Maseru,LS,-29.32,27.48,288.12,15.0,59.0,88,19,2.33,5.18,['22 Nov 2020 21:55:58']
369,4866445,Mason City,US,43.15,-93.2,273.69,1.0,33.0,80,1,6.7,14.89,['22 Nov 2020 21:55:58']
370,1235846,Matara,LK,5.95,80.54,299.8,27.0,80.0,80,97,1.26,2.8,['22 Nov 2020 21:55:58']
371,6201424,Mataura,NZ,-46.19,168.86,288.15,15.0,59.0,54,99,1.34,2.98,['22 Nov 2020 21:55:58']
372,154576,Matonga,TZ,-2.38,34.08,290.68,18.0,64.0,93,5,1.64,3.64,['22 Nov 2020 21:55:58']
373,2409215,Mattru,SL,7.62,-11.83,296.24,23.0,74.0,94,50,0.71,1.58,['22 Nov 2020 21:55:58']
374,933366,Maun,BW,-19.98,23.42,296.31,23.0,74.0,74,86,2.1,4.67,['22 Nov 2020 21:55:58']
375,2399001,Mayumba,GA,-3.43,10.66,298.11,25.0,77.0,90,100,2.71,6.02,['22 Nov 2020 21:55:58']
376,6541759,Mazara del Vallo,IT,37.66,12.59,284.99,12.0,53.0,87,0,1.0,2.22,['22 Nov 2020 21:55:58']
377,2312895,Mbandaka,CD,0.05,18.26,295.0,22.0,71.0,96,96,1.29,2.87,['22 Nov 2020 21:55:58']
378,878006,Mbekenyera,TZ,-10.0,38.98,294.16,21.0,70.0,95,41,0.97,2.16,['22 Nov 2020 21:55:58']
379,154380,Mbeya,TZ,-8.9,33.45,289.15,16.0,61.0,87,20,1.89,4.2,['22 Nov 2020 21:55:58']
380,2308278,Mbini,GQ,1.57,9.61,298.82,26.0,78.0,87,100,2.72,6.04,['22 Nov 2020 21:55:58']
381,124291,Mehrān,IR,33.12,46.16,278.15,5.0,41.0,86,0,2.1,4.67,['22 Nov 2020 21:55:58']
382,3347353,Menongue,AO,-14.66,17.69,291.11,18.0,64.0,91,100,1.32,2.93,['22 Nov 2020 21:55:58']
383,2082539,Merauke,ID,-8.47,140.33,302.39,29.0,85.0,76,18,5.76,12.8,['22 Nov 2020 21:55:58']
384,1732826,Mersing,MY,2.43,103.84,297.15,24.0,75.0,100,40,1.0,2.22,['22 Nov 2020 21:55:58']
385,1214488,Meulaboh,ID,4.14,96.13,298.31,25.0,77.0,74,99,2.39,5.31,['22 Nov 2020 21:55:58']
386,1059051,Miandrivazo,MG,-19.52,45.47,299.55,27.0,80.0,73,19,0.14,0.31,['22 Nov 2020 21:55:58']
387,153955,Micheweni,TZ,-4.97,39.83,299.26,26.0,79.0,81,32,2.31,5.13,['22 Nov 2020 21:55:58']
388,2330100,Minna,NG,9.61,6.56,296.0,23.0,73.0,41,100,1.88,4.18,['22 Nov 2020 21:55:58']
389,3674702,Miranda,CO,3.25,-76.23,297.15,24.0,75.0,69,40,5.7,12.67,['22 Nov 2020 21:55:58']
390,921786,Mitsamiouli,KM,-11.38,43.28,300.17,27.0,81.0,79,2,5.17,11.49,['22 Nov 2020 21:55:58']
391,3674676,Mitú,CO,1.2,-70.17,296.08,23.0,73.0,97,100,0.53,1.18,['22 Nov 2020 21:55:58']
392,2398283,Mitzic,GA,0.78,11.55,292.49,19.0,67.0,100,66,1.17,2.6,['22 Nov 2020 21:55:58']
393,330534,Mīzan Teferī,ET,6.98,35.58,289.45,16.0,61.0,84,0,1.27,2.82,['22 Nov 2020 21:55:58']
394,153384,Mlimba,TZ,-8.8,35.82,295.89,23.0,73.0,86,12,1.15,2.56,['22 Nov 2020 21:55:58']
395,975436,Mmabatho,ZA,-25.85,25.63,291.15,18.0,64.0,68,6,4.6,10.22,['22 Nov 2020 21:55:58']
396,1024312,Mocuba,MZ,-16.84,36.99,295.19,22.0,72.0,86,36,1.57,3.49,['22 Nov 2020 21:55:58']
397,53654,Mogadishu,SO,2.04,45.34,299.46,26.0,79.0,81,42,4.54,10.09,['22 Nov 2020 21:55:58']
398,2427637,Mongo,TD,12.18,18.69,296.48,23.0,74.0,29,92,2.62,5.82,['22 Nov 2020 21:55:58']
399,2274895,Monrovia,LR,6.3,-10.8,297.15,24.0,75.0,94,20,1.8,4.0,['22 Nov 2020 21:55:58']
400,3394605,Monte Alegre,BR,-2.01,-54.07,296.53,23.0,74.0,94,99,0.72,1.6,['22 Nov 2020 21:55:58']
401,906044,Monze,ZM,-16.28,27.48,294.3,21.0,70.0,70,44,0.76,1.69,['22 Nov 2020 21:55:58']
402,5374920,Morro Bay,US,35.37,-120.85,284.77,12.0,53.0,92,0,0.45,1.0,['22 Nov 2020 21:55:58']
403,2156643,Mount Gambier,AU,-37.83,140.77,291.15,18.0,64.0,68,90,7.2,16.0,['22 Nov 2020 21:55:58']
404,2065594,Mount Isa,AU,-20.73,139.5,311.15,38.0,100.0,12,0,5.1,11.33,['22 Nov 2020 21:55:58']
405,2265686,Moura,PT,38.14,-7.45,283.15,10.0,50.0,93,0,2.6,5.78,['22 Nov 2020 21:55:58']
406,186180,Moyale,KE,3.52,39.06,292.07,19.0,66.0,72,36,1.37,3.04,['22 Nov 2020 21:55:58']
407,152663,Mugumu,TZ,-1.85,34.7,289.43,16.0,61.0,93,3,1.98,4.4,['22 Nov 2020 21:55:58']
408,3653967,Muisne,EC,0.6,-80.03,296.15,23.0,73.0,84,89,2.61,5.8,['22 Nov 2020 21:55:58']
409,1337617,Muli,MV,2.92,73.57,300.76,28.0,82.0,71,14,1.54,3.42,['22 Nov 2020 21:55:58']
410,2297810,Mumford,GH,5.26,-0.76,298.77,26.0,78.0,85,36,3.53,7.84,['22 Nov 2020 21:55:58']
411,3115824,Muros,ES,42.78,-9.06,281.51,8.0,47.0,93,15,1.0,2.22,['22 Nov 2020 21:55:58']
412,902620,Mwinilunga,ZM,-11.74,24.43,289.71,17.0,62.0,93,93,0.31,0.69,['22 Nov 2020 21:55:58']
413,152042,Naberera,TZ,-4.2,36.93,291.45,18.0,65.0,91,87,2.67,5.93,['22 Nov 2020 21:55:58']
414,3347019,Mossamedes,AO,-15.2,12.15,292.8,19.0,67.0,77,40,3.16,7.02,['22 Nov 2020 21:55:58']
415,1033356,Nampula,MZ,-15.12,39.27,294.53,21.0,70.0,92,0,1.1,2.44,['22 Nov 2020 21:55:58']
416,3421765,Nanortalik,GL,60.14,-45.24,272.39,-1.0,31.0,91,91,8.85,19.67,['22 Nov 2020 21:55:58']
417,4944903,Nantucket,US,41.28,-70.1,284.15,11.0,52.0,76,90,8.7,19.33,['22 Nov 2020 21:55:58']
418,1855612,Nara,JP,34.69,135.8,290.12,17.0,63.0,63,75,5.7,12.67,['22 Nov 2020 21:55:58']
419,2392601,Natitingou,BJ,10.3,1.38,295.46,22.0,72.0,39,4,1.89,4.2,['22 Nov 2020 21:55:58']
420,2397674,Ndjolé,GA,-0.18,10.76,296.96,24.0,75.0,95,100,1.08,2.4,['22 Nov 2020 21:55:58']
421,3430443,Necochea,AR,-38.55,-58.74,295.37,22.0,72.0,61,88,9.36,20.8,['22 Nov 2020 21:55:58']
422,2513240,Nerja,ES,36.76,-3.89,284.11,11.0,52.0,76,0,0.89,1.98,['22 Nov 2020 21:55:58']
423,3843123,Neuquén,AR,-38.95,-68.06,293.15,20.0,68.0,56,0,1.0,2.22,['22 Nov 2020 21:55:58']
424,2155415,New Norfolk,AU,-42.78,147.06,292.15,19.0,66.0,58,68,0.45,1.0,['22 Nov 2020 21:55:58']
425,4589207,Newberry,US,34.27,-81.62,286.5,13.0,56.0,98,100,1.64,3.64,['22 Nov 2020 21:55:58']
426,2616504,Nexø,DK,55.06,15.13,282.15,9.0,48.0,81,100,11.8,26.22,['22 Nov 2020 21:55:58']
427,2224827,Ngaoundéré,CM,7.32,13.58,292.29,19.0,66.0,50,95,1.3,2.89,['22 Nov 2020 21:55:58']
428,151610,Ngorongoro,TZ,-3.24,35.49,284.89,12.0,53.0,100,16,1.21,2.69,['22 Nov 2020 21:55:58']
429,2364812,Niamtougou,TG,9.77,1.11,295.18,22.0,72.0,45,9,1.03,2.29,['22 Nov 2020 21:55:58']
430,2311968,Nioki,CD,-2.72,17.68,295.0,22.0,71.0,98,98,1.11,2.47,['22 Nov 2020 21:55:58']
431,2412408,Nioro,GM,13.35,-15.75,296.12,23.0,73.0,71,27,2.06,4.58,['22 Nov 2020 21:55:58']
432,286987,Nizwá,OM,22.93,57.53,289.62,17.0,62.0,59,0,0.06,0.13,['22 Nov 2020 21:55:58']
433,2259383,Nkayi,CG,-4.18,13.29,296.33,23.0,74.0,95,100,1.2,2.67,['22 Nov 2020 21:55:58']
434,2377457,Nouadhibou,MR,20.93,-17.03,295.15,22.0,72.0,56,100,4.6,10.22,['22 Nov 2020 21:55:58']
435,2377450,Nouakchott,MR,18.09,-15.98,296.15,23.0,73.0,23,1,4.1,9.11,['22 Nov 2020 21:55:58']
436,3172170,Novi Ligure,IT,44.76,8.79,274.79,2.0,35.0,90,62,0.89,1.98,['22 Nov 2020 21:55:58']
437,3663142,Novo Aripuanã,BR,-5.12,-60.38,296.22,23.0,74.0,97,30,1.16,2.58,['22 Nov 2020 21:55:58']
438,518585,Novomikhaylovskiy,RU,44.26,38.86,275.86,3.0,37.0,80,26,1.3,2.89,['22 Nov 2020 21:55:58']
439,3373652,Oistins,BB,13.07,-59.53,298.15,25.0,77.0,83,75,10.3,22.89,['22 Nov 2020 21:55:58']
440,515805,Oktyabr'skoye,RU,43.06,44.74,272.15,-1.0,30.0,100,100,5.0,11.11,['22 Nov 2020 21:55:58']
441,3414079,Olafsvik,IS,64.89,-23.71,275.32,2.0,36.0,87,54,4.91,10.91,['22 Nov 2020 21:55:58']
442,3393536,Olinda,BR,-8.01,-34.86,298.15,25.0,77.0,73,40,3.6,8.0,['22 Nov 2020 21:55:58']
443,2396853,Omboué,GA,-1.57,9.26,297.82,24.0,76.0,92,99,2.95,6.56,['22 Nov 2020 21:55:58']
444,3354077,Opuwo,NA,-18.06,13.84,293.96,21.0,69.0,30,2,1.25,2.78,['22 Nov 2020 21:55:58']
445,3354071,Oranjemund,NA,-28.55,16.43,287.94,15.0,59.0,90,38,2.73,6.07,['22 Nov 2020 21:55:58']
446,3393471,Oriximiná,BR,-1.77,-55.87,296.84,24.0,75.0,92,84,0.77,1.71,['22 Nov 2020 21:55:58']
447,556268,Ostrovnoy,RU,68.05,39.51,274.9,2.0,35.0,86,98,10.34,22.98,['22 Nov 2020 21:55:58']
448,236901,Ouadda,CF,8.08,22.4,294.08,21.0,70.0,32,100,2.33,5.18,['22 Nov 2020 21:55:58']
449,2357012,Ouargaye,BF,11.5,0.06,295.69,23.0,73.0,23,0,3.53,7.84,['22 Nov 2020 21:55:58']
450,2255564,Ouésso,CG,1.61,16.05,294.66,22.0,71.0,96,100,1.13,2.51,['22 Nov 2020 21:55:58']
451,2246901,Oussouye,SN,12.48,-16.55,298.58,26.0,78.0,79,61,3.32,7.38,['22 Nov 2020 21:55:58']
452,2255542,Owando,CG,-0.48,15.9,294.59,22.0,71.0,99,100,1.11,2.47,['22 Nov 2020 21:55:58']
453,2325330,Owerri,NG,5.48,7.03,299.15,26.0,79.0,94,20,1.52,3.38,['22 Nov 2020 21:55:58']
454,3421193,Paamiut,GL,61.99,-49.67,270.25,-3.0,27.0,94,100,13.35,29.67,['22 Nov 2020 21:55:58']
455,1633419,Padang,ID,-0.95,100.35,300.5,27.0,81.0,74,100,0.91,2.02,['22 Nov 2020 21:55:58']
456,146214,Paphos,CY,34.77,32.42,285.82,13.0,55.0,82,40,2.6,5.78,['22 Nov 2020 21:55:58']
457,3694112,Paita,PE,-5.09,-81.11,290.86,18.0,64.0,80,3,4.59,10.2,['22 Nov 2020 21:55:58']
458,256155,Palekastro,GR,35.2,26.25,289.26,16.0,61.0,65,16,8.36,18.58,['22 Nov 2020 21:55:58']
459,3393264,Palmares,BR,-8.68,-35.59,294.94,22.0,71.0,88,67,0.18,0.4,['22 Nov 2020 21:55:58']
460,1633034,Palu,ID,-0.89,119.87,304.52,31.0,88.0,55,99,1.13,2.51,['22 Nov 2020 21:55:58']
461,1695546,Pandan,PH,14.05,124.17,301.15,28.0,82.0,69,100,7.71,17.13,['22 Nov 2020 21:55:58']
462,6096551,Pangnirtung,CA,66.15,-65.71,256.77,-16.0,3.0,72,80,2.91,6.47,['22 Nov 2020 21:55:58']
463,3455168,Paracatu,BR,-17.22,-46.87,293.48,21.0,69.0,93,1,2.34,5.2,['22 Nov 2020 21:55:58']
464,3393115,Paracuru,BR,-3.41,-39.03,300.37,27.0,81.0,76,2,8.94,19.87,['22 Nov 2020 21:55:58']
465,3455049,Paranhos,BR,-23.89,-55.43,293.58,21.0,69.0,51,0,1.34,2.98,['22 Nov 2020 21:55:58']
466,4440397,Pascagoula,US,30.37,-88.56,288.02,15.0,59.0,87,1,2.86,6.36,['22 Nov 2020 21:55:58']
467,3662927,Pauini,BR,-7.71,-66.98,297.57,24.0,76.0,84,58,0.69,1.53,['22 Nov 2020 21:55:58']
468,3495137,Pedernales,DO,18.04,-71.74,298.81,26.0,78.0,74,26,0.95,2.11,['22 Nov 2020 21:55:58']
469,1028918,Pemba,MZ,-12.97,40.52,298.15,25.0,77.0,88,75,1.5,3.33,['22 Nov 2020 21:55:58']
470,2264923,Peniche,PT,39.36,-9.38,283.71,11.0,51.0,90,11,2.13,4.73,['22 Nov 2020 21:55:58']
471,2640377,Penzance,GB,50.12,-5.54,279.15,6.0,43.0,100,55,1.5,3.33,['22 Nov 2020 21:55:58']
472,3454005,Piaçabuçu,BR,-10.41,-36.43,297.57,24.0,76.0,81,0,3.46,7.69,['22 Nov 2020 21:55:58']
473,3392225,Piancó,BR,-7.2,-37.93,299.86,27.0,80.0,56,7,3.91,8.69,['22 Nov 2020 21:55:58']
474,2324857,Pindiga,NG,9.98,10.93,295.7,23.0,73.0,42,94,3.09,6.87,['22 Nov 2020 21:55:58']
475,1259608,Pīpār,IN,26.39,73.54,291.66,18.0,65.0,28,0,3.5,7.78,['22 Nov 2020 21:55:58']
476,3932145,Pisco,PE,-13.7,-76.22,290.81,18.0,64.0,82,0,5.1,11.33,['22 Nov 2020 21:55:58']
477,3517970,Pochutla,MX,15.74,-96.47,299.21,26.0,79.0,78,5,1.09,2.42,['22 Nov 2020 21:55:58']
478,3372783,Ponta Delgada,PT,37.73,-25.67,289.15,16.0,61.0,87,20,4.1,9.11,['22 Nov 2020 21:55:58']
479,2264557,Ponta do Sol,PT,32.67,-17.1,289.6,17.0,62.0,77,20,2.6,5.78,['22 Nov 2020 21:55:58']
480,1259395,Porbandar,IN,21.64,69.61,291.15,18.0,64.0,68,0,2.56,5.69,['22 Nov 2020 21:55:58']
481,964432,Port Alfred,ZA,-33.59,26.89,291.27,18.0,65.0,88,91,3.61,8.02,['22 Nov 2020 21:55:58']
482,1259385,Port Blair,IN,11.67,92.75,301.44,28.0,83.0,76,100,4.17,9.27,['22 Nov 2020 21:55:58']
483,964420,Port Elizabeth,ZA,-33.92,25.57,290.15,17.0,63.0,93,75,2.1,4.67,['22 Nov 2020 21:55:58']
484,6111862,Port Hardy,CA,50.7,-127.42,279.53,6.0,43.0,93,90,9.3,20.67,['22 Nov 2020 21:55:58']
485,6111867,Port Hawkesbury,CA,45.62,-61.35,272.51,-1.0,31.0,74,90,1.5,3.33,['22 Nov 2020 21:55:58']
486,2063036,Port Lincoln,AU,-34.73,135.87,291.89,19.0,66.0,59,8,7.17,15.93,['22 Nov 2020 21:55:58']
487,2396518,Port-Gentil,GA,-0.72,8.78,298.82,26.0,78.0,88,100,6.13,13.62,['22 Nov 2020 21:55:58']
488,5746545,Portland,US,45.52,-122.68,277.42,4.0,40.0,86,90,2.6,5.78,['22 Nov 2020 21:55:58']
489,3391387,Porto de Moz,BR,-1.75,-52.24,297.37,24.0,76.0,93,100,0.55,1.22,['22 Nov 2020 21:55:58']
490,2392087,Porto-Novo,BJ,6.5,2.6,299.11,26.0,79.0,86,99,2.38,5.29,['22 Nov 2020 21:55:58']
491,8010683,Porto Santo,PT,33.07,-16.34,290.15,17.0,63.0,82,20,2.1,4.67,['22 Nov 2020 21:55:58']
492,3374333,Praia,CV,14.92,-23.51,298.15,25.0,77.0,78,0,3.6,8.0,['22 Nov 2020 21:55:58']
493,2985289,Arrondissement de Privas,FR,44.58,4.5,274.65,2.0,35.0,77,0,2.1,4.67,['22 Nov 2020 21:55:58']
494,3991622,La Providencia,MX,28.72,-111.58,290.91,18.0,64.0,73,28,0.89,1.98,['22 Nov 2020 21:55:58']
495,3652764,Puerto Ayora,EC,-0.74,-90.35,294.82,22.0,71.0,82,52,1.79,3.98,['22 Nov 2020 21:55:58']
496,3617154,Puerto Cabezas,NI,14.04,-83.39,298.63,26.0,78.0,89,100,2.54,5.64,['22 Nov 2020 21:55:58']
497,3671519,Puerto Carreño,CO,6.19,-67.49,298.72,26.0,78.0,85,47,1.78,3.96,['22 Nov 2020 21:55:58']
498,2512186,Puerto del Rosario,ES,28.5,-13.86,293.15,20.0,68.0,88,40,5.1,11.33,['22 Nov 2020 21:55:58']
499,3671437,Caucayá,CO,-0.19,-74.78,296.74,23.0,74.0,96,97,0.58,1.29,['22 Nov 2020 21:55:58']
500,3840092,Puerto Madryn,AR,-42.77,-65.04,295.33,22.0,72.0,26,34,6.86,15.24,['22 Nov 2020 21:55:58']
501,3991347,Puerto Peñasco,MX,31.32,-113.53,294.26,21.0,70.0,79,100,0.45,1.0,['22 Nov 2020 21:55:58']
502,3444201,Puerto Quijarro,BO,-17.78,-57.77,299.83,27.0,80.0,30,0,1.57,3.49,['22 Nov 2020 21:55:58']
503,3429732,Puerto Rico,AR,-26.8,-55.02,291.61,18.0,65.0,53,0,0.56,1.24,['22 Nov 2020 21:55:58']
504,3671337,Puerto Rondón,CO,6.28,-71.1,296.99,24.0,75.0,91,82,2.02,4.49,['22 Nov 2020 21:55:58']
505,3874930,Puerto Varas,CL,-41.32,-72.99,283.15,10.0,50.0,76,75,2.1,4.67,['22 Nov 2020 21:55:58']
506,3874787,Punta Arenas,CL,-53.15,-70.92,281.04,8.0,46.0,65,75,1.0,2.22,['22 Nov 2020 21:55:58']
